标志,ID,人物,文本,跳转,效果,配乐
#,1,环境,进城的路边，有一个酒肆，三个书生模样的男子正在喝酒。隐隐能听出似在念诗。,2,,
#,2,玩家,难得穿越过来，正好看看古人的诗到底如何,3,,
#,3,书生一,"既然以月为题，我便先来一首：江楼独倚暮云悠，玉镜高悬万里秋。
波涌银辉千万里，不知愁思落谁舟？",4,,
#,4,书生二,"好，以月为题却无月，胡兄好诗啊，我也献丑一首：寒芒悄至照幽轩，碎玉纷飞落小园。
独对银辉思旧事，遥怜千里共明昏 。",5,,
#,5,书生三,"二位同窗真是大才，在下也试着来一首：银纱漫卷覆平丘，皓彩盈空惹客愁。
数点寒星相伴处，光浮沧海意难休 。",6,,
#,6,玩家,这三首诗都没听过，看来三位书生也不是什么历史大人物，不过诗听起来也大有意境呢。,7,,
#,7,金手指,宿主，检测到支线任务：书生斗诗，宿主可以参与斗诗，可以获得一些意想不到的奖励哦。,9,,
&,8,玩家,参与斗诗,10,,
&,9,玩家,不参与,,,
#,10,玩家,几位仁兄好雅兴，小弟也对赋诗颇有兴趣，不知几位赋的何诗？,11,,
#,11,书生一,小兄弟来得好，我们三人进京赶考，正好小酌，以月为题却不说月，在此斗诗一乐。,12,,
#,12,书生二,小兄弟有何诗句，说来鉴赏奖赏。,13,,
&,13,玩家,抄一首古代诗句,16,,
&,14,玩家,自己创作一首诗句,,呼出创作,
&,15,玩家,让金手指帮忙写一首,,呼出系统,
#,16,书生一,小兄弟真是深藏不漏，好诗好诗！,17,,
#,17,书生二,我等拜服,18,,
#,18,书生三,来，小兄弟可否与我三人共饮？,21,,
#,19,玩家,正该如此！,20,,
#,20,金手指,恭喜宿主获得朝廷好感度，效果：可以从朝廷文官处获得情报。,21,,
#,21,END,,,,
,,,,,,
,,,,,,
#,24,金手指,那么接下来，我们要前往朱仙镇咯！,25,,
#,25,金手指,主人可以在左侧地图中选中朱仙镇进行移动，,26,,
#,26,金手指,美女、奇遇、盖世高手、恢弘的历史画卷都从朱仙镇开始啦！,27,,
#,27,金手指,那么开始你的武侠之旅，我先退下啦！,28,,
#,28,金手指,如果需要唤醒我，您可以点击右下角的金手指系统,29,,
#,29,金手指,我就会回到您身边，给您提供情报、建议哦，我是您的全能金手指！,30,,
#,30,玩家,(心下默念）……这……就消失了啊，真是奇怪的经历呢！,31,,
#,31,玩家,刚才金手指说让我去朱仙镇，那里恐怕正是战事不断……,32,,
#,32,玩家,武林中肯定也去了不少高手，肯定热闹非凡！,33,,
#,33,玩家,不过我刚刚穿越而来，去那里肯定凶险万分……,34,,
&,34,玩家,前往朱仙镇,37,,
&,35,玩家,先不前往,38,,
&,36,玩家,还是继续问问金手指吧,,,
END,37,玩家,（一拍脑袋）不管啦，先去朱仙镇吧！,,,
END,38,玩家,我还是先转转熟悉下世界吧！,,,
