标志,ID,人物,文本,跳转,效果,配乐
#,1,金手指,宿主，触发支线任务：栖身之所,2,,
#,2,金手指,你刚刚来到这个世界，一身破烂衣裳，身无分文，当务之急是找到一处栖身之所，再做打算。系统提示，你的附近有一处破庙，还有一个山洞和一户农家。,3,,
#,3,玩家,那我应该去哪里呢？,4,,
&,4,环境,前往破庙,7,,
&,5,环境,前往山洞,9,,
&,6,环境,前往农家,13,,
#,7,金手指,破庙已经破败不堪，好在庙中有一处角落，似能避风挡雨。破庙后方似乎有什么东西？,8,,
#,8,金手指,恭喜宿主获得武术残页：九布游龙，效果：在战斗时提高躲闪的几率,27,,
#,9,金手指,山洞幽深，略有潮气，隐隐还是动物粪便的味道。,10,,
#,10,玩家,晚上可能要生火会安全一些，不然不知道什么野兽会跑进来。,11,,
#,11,金手指,宿主，山洞里面似乎有什么东西在发光！,12,,
#,12,金手指,恭喜宿主获得青铜剑，效果：战斗胜率+0.1%,27,,
#,13,金手指,农家炊烟袅袅，一老农正牵牛回家。宿主，系统检测到农家只有一对父女，或可触发奇缘。,14,,
#,14,玩家,老伯，我从远方游历到此，想要问老伯借宿一宿，不知是否方便！,15,,
#,15,老农,小哥不是老朽不愿方便，只是家中只有老儿和一 小女，家宅又破小，恐难安排地方……,16,,
#,16,玩家,既如此……,17,,
&,17,玩家,老伯，我给您100文铜钱，可否在家中腾出地板暂住？,20,,
&,18,玩家,老伯，我这有10文铜钱，可否在牛舍暂住？,20,,
&,19,玩家,那就不打扰老伯，告辞！,27,,
#,20,老农,哎，那便委屈小哥了！,21,,
#,21,玩家,老伯哪里话，能收留我，已经感激不尽了！,22,,
#,22,老农,只是家中尚有九岁小女，调皮异常，若打扰到小哥，莫要怪罪。,23,,
#,23,玩家,老伯哪里话。,24,,
#,24,金手指,宿主，触发奇缘支线：农家女阳阳年尚九岁，父母双亡，只剩祖父王老三抚养，最近却被村中恶霸王麻子定下了娃娃亲，未来命运多有不堪。,25,,
&,25,环境,进入奇缘支线,,,
&,26,环境,暂不进入,27,,
#,27,end,,,,
