标志,ID,人物,文本,跳转,,配乐
#,1,玩家,这是……听风客栈，正好有点饿了！,2,,
#,2,玩家,（走进听风客栈，开始打量这个古代的客栈）,3,搭配客栈立绘,
#,3,玩家,小小的客栈这么热闹，里面坐的人可都带着各式各样的武器，不像善茬！,4,,
#,4,店小二,欢迎来到鄙店，少侠打尖还是住店呀？,5,,
#,5,玩家,走了一天，有些饿，给我上些拿手菜来！,6,,
#,6,店小二,好嘞，您先这边坐！我这就给您上菜……,7,,
#,7,环境,客栈往来的客人行色冷峻，大多带着武器，不时交头接耳，眼神打量着其他人……,8,,
#,8,店小二,（见玩家警惕的样子）少侠，最近金人渡过了黄河，此地不太安生,9,,
#,9,店小二,少侠孤身一人，可要注意安全！,10,,
&,10,玩家,可否告知详情？,12,,
&,11,玩家,自是当然，多谢,17,,
#,12,店小二,金人设下了河南大营，前日岳家少将军在牛头山打败了金军前哨……,13,,
#,13,店小二,（警惕地低声附耳）听说他们又派出了血刀门高手，在附近四处骚扰、打家劫舍！,14,,
#,14,玩家,多谢告知，我自当小心！,15,,
&,15,玩家,询问系统更多信息,,呼出金手指,
&,16,玩家,边填饱肚子边观察周围,17,,
#,17,环境,客栈二楼忽然传来一声娇斥，紧接着便是碗碟的碎裂声，众人纷纷抬头。,18,,碗碟碎裂
#,18,环境,俄而，从楼上跳下一少女，青衣劲装，长发因为剧烈运动左右摇摆，散发一阵阵香风,19,,
#,19,环境,待少女站定，方才发现是一十五六岁的美丽少女，白皙的脸上因打斗微微泛红，一双大眼警惕地看着楼上,20,少女立绘,
#,20,环境,众人正呆呆地看着少女的娇美身姿，突然二楼窜下三个黑衣大汉！,21,,
#,21,黑衣大汉,小丫头，你休想走脱！,22,,
#,22,青衣少女,哼，别看你三个长得凶恶，却也难留得住我！,23,,
#,23,黑衣大汉,（大喝）小丫头不止天高地厚！,24,,
#,24,环境,三个大汉拔出弯刀一齐朝青衣少女攻去，但见招式狠辣，弯刀擦着青衣少女的衣服直奔要害。险象环生！,25,打架立绘,
#,25,金手指,（略显急促）宿主，这个青衣少女正是岳飞次女岳银瓶，正遭到血刀门弟子的围攻，我们可以助其脱困！,26,,
&,26,玩家,出手相助,30,,
&,27,玩家,先不出手，观望一下,54,,
&,28,玩家,帮助血刀门,57,,
&,29,玩家,我想做别的选择,,AI生成结局,
#,30,环境,「铛！」您格开劈向岳银瓶的弯刀，少女眸中闪过惊诧。三名血刀门弟子停下身形，怒目盯着你……,31,,
#,31,血刀门弟子,你是何人？莫要多管闲事！,32,,
#,32,玩家,路见不平，拔刀相助！你们三个壮汉欺负一个女孩子，我就当管！,33,,
#,33,血刀门弟子,那便连你一并杀了！（说完，刀劈而至）,34,,
#,34,环境,二对三，你与岳银瓶虽然疲于招架，三名血刀门弟子却也占不到太多便宜，一时难分胜负！,35,,
#,35,环境,眼见战况僵持，你忽然灵机一动，大喊！,36,,
#,36,玩家,你们血刀门跑到这里以多欺少，真的是欺我中原无人？,37,,
#,37,岳银瓶,（岳银瓶看着你狡黠一笑）你们果然是血刀门弟子！,38,,
#,38,环境,客栈众江湖客听得明白，有的蠢蠢向前，有的拔出刀剑，怒视血刀门弟子。,39,,
#,39,环境,血刀门三弟子察觉到周遭杀气，进攻的动作稍稍迟缓。岳银瓶抓住机会，一剑格开弯刀，右手握拳，直戳面前一人的胸口。,40,,
#,40,环境,那人吃痛不住，往后倒退几步，正撞到一桌江湖客身上，那几人也不废话，抽刀便砍。,41,,
#,41,环境,另两名血刀门弟子见同伴遇险，抽身帮那受伤的同伴隔开刀剑。,42,,
#,42,血刀门弟子,此地不宜久留，我们快走！,43,,
#,43,环境,血刀门弟子从怀中拿出一枚黑球，猛地砸向地面，浓烟瞬间布满客栈，待硝烟散去，三人早已不见踪影。,44,,
#,44,金手指,宿主快看那桌子底下！,45,,
#,45,玩家,获得道具[银刀令]x1,46,,
#,46,岳银瓶,多谢少侠，多谢各位好汉！,47,,
#,47,玩家,姑娘客气了，这是我辈江湖本分。,48,,
#,48,岳银瓶,这枚银刀令是血刀门信物，可在他们据点换取情报，或许对你有用。,49,,
#,49,玩家,他们好像是奔着你而来，应该对你更有用，不若姑娘拿去吧。,50,,
#,50,岳银瓶,不用啦，他们是谁我早已知晓，只是我有要事在身，先行与少侠和诸位拜别，来日方长，有缘小女子必行报答！”,51,,
#,51,环境,说罢，岳银瓶一转身，香风阵阵，一时众人陶醉其中，再看时，只见一个娇美的身影已经跳上白马，绝尘而去。,52,,
#,52,玩家,岳姑娘！……,76,,
#,53,环境,（江湖客低语）血刀门？怎敢如此放肆！,55,,
#,54,环境,（江湖客大喊）血刀鹰犬，中原武林人人得而诛之！,56,,
